"Regio's";"Woningtype";"Perioden";"Beginstand woningvoorraad (aantal)"
"Gelderland (PV)";"detached house";"2023";"  164754"
"Gelderland (PV)";"detached house";"2024";"  165423"
"Gelderland (PV)";"semi-detached house";"2021";"  108842"
"Gelderland (PV)";"semi-detached house";"2022";"  109810"
"Gelderland (PV)";"semi-detached house";"2023";"  110343"
"Gelderland (PV)";"semi-detached house";"2024";"  110925"
"Gelderland (PV)";"corner house";"2021";"  139812"
"Gelderland (PV)";"corner house";"2022";"  140766"
"Gelderland (PV)";"corner house";"2023";"  141726"
"Gelderland (PV)";"corner house";"2024";"  142535"
"Gelderland (PV)";"terraced house";"2021";"  271674"
"Gelderland (PV)";"terraced house";"2022";"  273664"
"Gelderland (PV)";"terraced house";"2023";"  275881"
"Gelderland (PV)";"terraced house";"2024";"  277995"
"Gelderland (PV)";"Unknown single-family home";"2021";"     205"
"Gelderland (PV)";"Unknown single-family home";"2022";"     234"
"Gelderland (PV)";"Unknown single-family home";"2023";"     264"
"Gelderland (PV)";"Unknown single-family home";"2024";"     306"
"Utrecht (PV)";"Eengezinswoningen totaal";"2021";"  372061"
"Utrecht (PV)";"Eengezinswoningen totaal";"2022";"  374717"
"Utrecht (PV)";"Eengezinswoningen totaal";"2023";"  376565"
"Utrecht (PV)";"Eengezinswoningen totaal";"2024";"  378424"
"Utrecht (PV)";"detached house";"2021";"   44113"
"Utrecht (PV)";"detached house";"2022";"   44476"
"Utrecht (PV)";"detached house";"2023";"   44731"
"Utrecht (PV)";"detached house";"2024";"   45045"
"Utrecht (PV)";"semi-detached house";"2021";"   44032"
"Utrecht (PV)";"semi-detached house";"2022";"   44326"
"Utrecht (PV)";"semi-detached house";"2023";"   44464"
"Utrecht (PV)";"semi-detached house";"2024";"   44653"
"Utrecht (PV)";"corner house";"2021";"   77001"
"Utrecht (PV)";"corner house";"2022";"   77552"
"Utrecht (PV)";"corner house";"2023";"   77884"
"Utrecht (PV)";"corner house";"2024";"   78237"
"Utrecht (PV)";"terraced house";"2021";"  206797"
"Utrecht (PV)";"terraced house";"2022";"  208226"
"Utrecht (PV)";"terraced house";"2023";"  209269"
"Utrecht (PV)";"terraced house";"2024";"  210251"
"Utrecht (PV)";"Unknown single-family home";"2021";"     118"
"Utrecht (PV)";"Unknown single-family home";"2022";"     137"
"Utrecht (PV)";"Unknown single-family home";"2023";"     217"
"Utrecht (PV)";"Unknown single-family home";"2024";"     238"
"Noord-Holland (PV)";"Eengezinswoningen totaal";"2021";"  672818"
"Noord-Holland (PV)";"Eengezinswoningen totaal";"2022";"  677025"
"Noord-Holland (PV)";"Eengezinswoningen totaal";"2023";"  680361"
"Noord-Holland (PV)";"Eengezinswoningen totaal";"2024";"  683601"
"Noord-Holland (PV)";"detached house";"2021";"   90921"
"Noord-Holland (PV)";"detached house";"2022";"   91624"
"Noord-Holland (PV)";"detached house";"2023";"   92250"
"Noord-Holland (PV)";"detached house";"2024";"   92733"
"Noord-Holland (PV)";"semi-detached house";"2021";"   65827"
"Noord-Holland (PV)";"semi-detached house";"2022";"   66622"
"Noord-Holland (PV)";"semi-detached house";"2023";"   67281"
"Noord-Holland (PV)";"semi-detached house";"2024";"   67865"
"Noord-Holland (PV)";"corner house";"2021";"  140676"
"Noord-Holland (PV)";"corner house";"2022";"  141490"
"Noord-Holland (PV)";"corner house";"2023";"  142144"
"Noord-Holland (PV)";"corner house";"2024";"  142791"
"Noord-Holland (PV)";"terraced house";"2021";"  374864"
"Noord-Holland (PV)";"terraced house";"2022";"  376768"
"Noord-Holland (PV)";"terraced house";"2023";"  378131"
"Noord-Holland (PV)";"terraced house";"2024";"  379618"
"Noord-Holland (PV)";"Unknown single-family home";"2021";"     530"
"Noord-Holland (PV)";"Unknown single-family home";"2022";"     521"
"Noord-Holland (PV)";"Unknown single-family home";"2023";"     555"
"Noord-Holland (PV)";"Unknown single-family home";"2024";"     594"
"Zuid-Holland (PV)";"Eengezinswoningen totaal";"2021";"  827250"
"Zuid-Holland (PV)";"Eengezinswoningen totaal";"2022";"  833009"
"Zuid-Holland (PV)";"Eengezinswoningen totaal";"2023";"  838643"
"Zuid-Holland (PV)";"Eengezinswoningen totaal";"2024";"  844951"
"Zuid-Holland (PV)";"detached house";"2021";"   83488"
"Zuid-Holland (PV)";"detached house";"2022";"   84190"
"Zuid-Holland (PV)";"detached house";"2023";"   84912"
"Zuid-Holland (PV)";"detached house";"2024";"   85807"
"Zuid-Holland (PV)";"semi-detached house";"2021";"   59956"
"Zuid-Holland (PV)";"semi-detached house";"2022";"   60798"
"Zuid-Holland (PV)";"semi-detached house";"2023";"   61320"
"Zuid-Holland (PV)";"semi-detached house";"2024";"   61960"
"Zuid-Holland (PV)";"corner house";"2021";"  180209"
"Zuid-Holland (PV)";"corner house";"2022";"  181423"
"Zuid-Holland (PV)";"corner house";"2023";"  182536"
"Zuid-Holland (PV)";"corner house";"2024";"  183719"
"Zuid-Holland (PV)";"terraced house";"2021";"  503234"
"Zuid-Holland (PV)";"terraced house";"2022";"  506214"
"Zuid-Holland (PV)";"terraced house";"2023";"  509403"
"Zuid-Holland (PV)";"terraced house";"2024";"  512946"
"Zuid-Holland (PV)";"Unknown single-family home";"2021";"     363"
"Zuid-Holland (PV)";"Unknown single-family home";"2022";"     384"
"Zuid-Holland (PV)";"Unknown single-family home";"2023";"     472"
"Zuid-Holland (PV)";"Unknown single-family home";"2024";"     519"
"Zeeland (PV)";"Eengezinswoningen totaal";"2021";"  152069"
"Zeeland (PV)";"Eengezinswoningen totaal";"2022";"  152731"
"Zeeland (PV)";"Eengezinswoningen totaal";"2023";"  153330"
"Zeeland (PV)";"Eengezinswoningen totaal";"2024";"  154208"
"Zeeland (PV)";"detached house";"2021";"   44245"
"Zeeland (PV)";"detached house";"2022";"   44347"
"Zeeland (PV)";"detached house";"2023";"   44433"
"Zeeland (PV)";"detached house";"2024";"   44717"
"Zeeland (PV)";"semi-detached house";"2021";"   22873"
"Zeeland (PV)";"semi-detached house";"2022";"   22920"
"Zeeland (PV)";"semi-detached house";"2023";"   22924"
